ชื่อ,รหัส 9 หลักใหม่,รหัส 9 หลัก,รหัส 5 หลัก,เลขอนุญาตให้ประกอบสถานบริการสุขภาพ 11 หลัก,ประเภทองค์กร,ประเภทหน่วยบริการสุขภาพ,สังกัด,แผนก/กรม,ระดับโรงพยาบาล,เตียงที่ใช้จริง,สถานะการใช้งาน,เขตบริการ,health_region_id,ที่อยู่,code,จังหวัด,รหัสอำเภอ,อำเภอ/เขต,รหัสตำบล,ตำบล/แขวง,หมู่,รหัสไปรษณีย์,แม่ข่าย,วันที่ก่อตั้ง,วันที่ปิดบริการ,อัพเดตล่าสุด(เริ่ม 05/09/2566)
โรงพยาบาลยะหริ่ง,EA0011429,1142900,11429,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 12,12,183ู,94,ปัตตานี,9409,ยะหริ่ง,940908,ยามู,2,94150,,,,31/8/2025
โรงพยาบาลหนองจิก,EA0011424,1142400,11424,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,223 ถ.เพชรเกษม,94,ปัตตานี,9403,หนองจิก,940305,ตุยง,2,94170,,,,19/3/2024
โรงพยาบาลพัทลุง,EA0010747,1074700,10747,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,567,กำลังใช้งาน,เขตสุขภาพที่ 12,12,42 ถ.ราเมศวร์,93,พัทลุง,9301,เมืองพัทลุง,930101,คูหาสวรรค์,0,93000,,,,19/3/2024
โรงพยาบาลควนขนุน,EA0011417,1141700,11417,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,90,กำลังใช้งาน,เขตสุขภาพที่ 12,12,232,93,พัทลุง,9305,ควนขนุน,930501,ควนขนุน,9,93110,,,,6/12/2023
โรงพยาบาลกงหรา,EA0011414,1141400,11414,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,164,93,พัทลุง,9302,กงหรา,930204,คลองทรายขาว,1,93180,,,,31/8/2025
โรงพยาบาลเขาชัยสน,EA0011415,1141500,11415,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,543,93,พัทลุง,9303,เขาชัยสน,930301,เขาชัยสน,3,93130,,,,6/12/2023
โรงพยาบาลบางแก้ว,EA0011421,1142100,11421,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 12,12,609,93,พัทลุง,9309,บางแก้ว,930901,ท่ามะเดื่อ,1,93140,,,,31/8/2025
โรงพยาบาลปากพะยูน,EA0011418,1141800,11418,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,93,พัทลุง,9306,ปากพะยูน,930601,ปากพะยูน,1,93120,,,,6/12/2023
โรงพยาบาลป่าบอน,EA0011420,1142000,11420,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,36,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ถ.เพชรเกษม,93,พัทลุง,9308,ป่าบอน,930806,วังใหม่,8,93170,,,,31/8/2025
โรงพยาบาลป่าพะยอม,EA0011422,1142200,11422,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,45,กำลังใช้งาน,เขตสุขภาพที่ 12,12,29 ถ.เพชรเกษม,93,พัทลุง,9310,ป่าพะยอม,931001,ป่าพะยอม,1,93160,,,,6/12/2023
โรงพยาบาลสุคิริน,EA0011441,1144100,11441,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,38,กำลังใช้งาน,เขตสุขภาพที่ 12,12,58,96,นราธิวาส,9609,สุคิริน,960901,มาโมง,6,96190,,,,31/8/2025
โรงพยาบาลรือเสาะ,EA0011438,1143800,11438,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,82,กำลังใช้งาน,เขตสุขภาพที่ 12,12,184/5 ถ.รือเสาะสนองกิจ,96,นราธิวาส,9606,รือเสาะ,960601,รือเสาะ,2,96150,,,,6/12/2023
โรงพยาบาลตะโหมด,EA0011416,1141600,11416,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,36,กำลังใช้งาน,เขตสุขภาพที่ 12,12,29 ถ.เพชรเกษม,93,พัทลุง,9304,ตะโหมด,930401,แม่ขรี,1,93160,,,,31/8/2025
โรงพยาบาลยี่งอเฉลิมพระเกียรติ 80 พรรษา,EA0023771,2377100,23771,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,71,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ม.ค.-17,96,นราธิวาส,9604,ยี่งอ,960401,ยี่งอ,4,96180,,,,31/8/2025
โรงพยาบาลศรีบรรพต,EA0011419,1141900,11419,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,93,พัทลุง,9307,ศรีบรรพต,930701,เขาย่า,9,93190,,,,6/12/2023
โรงพยาบาลศรีนครินทร์(ปัญญานันทภิขุ),EA0024673,2467300,24673,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F3 - โรงพยาบาลชุมชนขนาดเล็ก,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,93,พัทลุง,9311,ศรีนครินทร์,931102,บ้านนา,3,93000,,2/5/2011,,19/3/2024
โรงพยาบาลยะลา,EA0010684,1068400,10684,,รัฐบาล,โรงพยาบาลศูนย์,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,A - โรงพยาบาลศูนย์,558,กำลังใช้งาน,เขตสุขภาพที่ 12,12,152 ถ.สิโรรส,95,ยะลา,9501,เมืองยะลา,950101,สะเตง,0,95000,,,,27/8/2025
โรงพยาบาลเบตง,EA0010749,1074900,10749,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M1 - โรงพยาบาลทั่วไปขนาดเล็ก,170,กำลังใช้งาน,เขตสุขภาพที่ 12,12,106 ถ.รัตนกิจ,95,ยะลา,9502,เบตง,950201,เบตง,0,95110,,,,6/12/2023
โรงพยาบาลรามัน,EA0011434,1143400,11434,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,85,กำลังใช้งาน,เขตสุขภาพที่ 12,12,207 ถ.เมืองรามัน,95,ยะลา,9506,รามัน,950601,กายูบอเกาะ,1,95140,,,,31/8/2025
โรงพยาบาลสมเด็จพระยุพราชยะหา,EA0011461,1146100,11461,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,90,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,95,ยะลา,9505,ยะหา,950501,ยะหา,6,95120,,,,19/3/2024
โรงพยาบาลกรงปินัง,EA0024689,2468900,24689,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,122,95,ยะลา,9508,กรงปินัง,950802,สะเอะ,3,95000,,1/4/2011,,6/12/2023
โรงพยาบาลกาบัง,EA0013806,1380600,13806,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,95,ยะลา,9507,กาบัง,950701,กาบัง,5,95120,,,,6/12/2023
โรงพยาบาลธารโต,EA0011433,1143300,11433,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,104 ถ.สุขยางค์,95,ยะลา,9504,ธารโต,950401,ธารโต,1,95150,,,,31/8/2025
โรงพยาบาลบันนังสตา,EA0011432,1143200,11432,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,60,กำลังใช้งาน,เขตสุขภาพที่ 12,12,302 ถ.สุขยางค์,95,ยะลา,9503,บันนังสตา,950301,บันนังสตา,7,95130,,,,6/12/2023
โรงพยาบาลหาดใหญ่,EA0010682,1068200,10682,,รัฐบาล,โรงพยาบาลศูนย์,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,A - โรงพยาบาลศูนย์,893,กำลังใช้งาน,เขตสุขภาพที่ 12,12,182 ถ.รักการ,90,สงขลา,9011,หาดใหญ่,901101,หาดใหญ่,0,90110,,,,27/8/2025
โรงพยาบาลสงขลา,EA0010745,1074500,10745,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,508,กำลังใช้งาน,เขตสุขภาพที่ 12,12,666 ถ.สงขลา-ระโนด,90,สงขลา,9001,เมืองสงขลา,900104,พะวง,2,90100,,,,19/3/2024
โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ  อำเภอนาทวี,EA0011388,1138800,11388,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,122,กำลังใช้งาน,เขตสุขภาพที่ 12,12,20 ถ.นาทวี-ประกอบ,90,สงขลา,9004,นาทวี,900401,นาทวี,0,90160,,,,29/8/2025
โรงพยาบาลระโนด,EA0011392,1139200,11392,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,62,กำลังใช้งาน,เขตสุขภาพที่ 12,12,5/1 ถ.ระโนด-หัวเขาแดง,90,สงขลา,9007,ระโนด,900701,ระโนด,5,90140,,,,6/12/2023
โรงพยาบาลกระแสสินธุ์,EA0011393,1139300,11393,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,90,สงขลา,9008,กระแสสินธุ์,900803,เชิงแส,3,90270,,,,6/12/2023
โรงพยาบาลคลองหอยโข่ง,EA0011401,1140100,11401,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,21,90,สงขลา,9016,คลองหอยโข่ง,901601,คลองหอยโข่ง,1,90230,,,,6/12/2023
โรงพยาบาลควนเนียง,EA0011397,1139700,11397,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,31,กำลังใช้งาน,เขตสุขภาพที่ 12,12,1,90,สงขลา,9013,ควนเนียง,901301,รัตภูมิ,10,90220,,,,29/8/2025
โรงพยาบาลจะนะ,EA0011387,1138700,11387,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,80,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,90,สงขลา,9003,จะนะ,900301,บ้านนา,2,90130,,,,29/8/2025
โรงพยาบาลเทพา,EA0011390,1139000,11390,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,76,กำลังใช้งาน,เขตสุขภาพที่ 12,12,207 ถ.เทพา-ลำไพล,90,สงขลา,9005,เทพา,900501,เทพา,5,90150,,,,29/8/2025
โรงพยาบาลนาหม่อม,EA0011396,1139600,11396,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,90,สงขลา,9012,นาหม่อม,901202,พิจิตร,3,90310,,,,6/12/2023
โรงพยาบาลบางกล่ำ,EA0011399,1139900,11399,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 12,12,117,90,สงขลา,9014,บางกล่ำ,901401,บางกล่ำ,1,90110,,,,19/3/2024
โรงพยาบาลปาดังเบซาร์,EA0011398,1139800,11398,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,34,กำลังใช้งาน,เขตสุขภาพที่ 12,12,42 ถ.ปาดังเบซาร์,90,สงขลา,9010,สะเดา,901007,ปาดังเบซาร์,9,90240,,,,6/12/2023
โรงพยาบาลรัตภูมิ,EA0011394,1139400,11394,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,73,กำลังใช้งาน,เขตสุขภาพที่ 12,12,289 ถ.ยนตรการกำธร,90,สงขลา,9009,รัตภูมิ,900901,กำแพงเพชร,1,90180,,,,6/12/2023
โรงพยาบาลสะเดา,EA0011395,1139500,11395,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,63,กำลังใช้งาน,เขตสุขภาพที่ 12,12,110 ถ.ปาดังเบซาร์,90,สงขลา,9010,สะเดา,901001,สะเดา,0,90120,,,,29/8/2025
โรงพยาบาลสะบ้าย้อย,EA0011391,1139100,11391,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,57,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ก.พ.-17,90,สงขลา,9006,สะบ้าย้อย,900601,สะบ้าย้อย,1,90210,,,,29/8/2025
โรงพยาบาลสิงหนคร,EA0011400,1140000,11400,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,40,กำลังใช้งาน,เขตสุขภาพที่ 12,12,80/1,90,สงขลา,9015,สิงหนคร,901502,สทิงหม้อ,5,90280,,,,29/8/2025
โรงพยาบาลสตูล,EA0010746,1074600,10746,,รัฐบาล,โรงพยาบาลทั่วไป,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,S - โรงพยาบาลทั่วไปขนาดใหญ่,300,กำลังใช้งาน,เขตสุขภาพที่ 12,12,55 ถ.หัถตกรรมศึกษา,91,สตูล,9101,เมืองสตูล,910101,พิมาน,0,,,,,19/3/2024
โรงพยาบาลควนกาหลง,EA0011403,1140300,11403,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,91,สตูล,9103,ควนกาหลง,910302,ควนกาหลง,7,,,,,29/8/2025
โรงพยาบาลท่าแพ,EA0011404,1140400,11404,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,107,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,91,สตูล,9104,ท่าแพ,910401,ท่าแพ,2,,,,,29/8/2025
โรงพยาบาลทุ่งหว้า,EA0011406,1140600,11406,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,35,กำลังใช้งาน,เขตสุขภาพที่ 12,12,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,91,สตูล,9106,ทุ่งหว้า,910601,ทุ่งหว้า,8,,,,,31/8/2025
โรงพยาบาลมะนัง,EA0028786,2878600,28786,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,32,กำลังใช้งาน,เขตสุขภาพที่ 12,12,,91,สตูล,9107,มะนัง,910701,ปาล์มพัฒนา,1,91130,,1/10/2013,,26/12/2023
โรงพยาบาลหันคา,EA0010806,1080600,10806,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,45,กำลังใช้งาน,เขตสุขภาพที่ 3,3,210,18,ชัยนาท,1806,หันคา,180609,เด่นใหญ่,2,,,,,27/8/2025
โรงพยาบาลบ้านไร่,EA0011225,1122500,11225,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,60,กำลังใช้งาน,เขตสุขภาพที่ 3,3,307,61,อุทัยธานี,6106,บ้านไร่,610601,บ้านไร่,1,61140,,,,28/8/2025
โรงพยาบาลน้ำโสม,EA0011024,1102400,11024,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,70,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,41,อุดรธานี,4118,น้ำโสม,411810,ศรีสำราญ,1,41210,,,,28/8/2025
โรงพยาบาลกุดจับ,EA0011013,1101300,11013,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,60,กำลังใช้งาน,เขตสุขภาพที่ 8,8,72 ถ.กุดจับ-หนองวัวซอ,41,อุดรธานี,4102,กุดจับ,410206,เมืองเพีย,3,41250,,,,26/12/2023
โรงพยาบาลหนองหาน,EA0011018,1101800,11018,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,150,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,41,อุดรธานี,4106,หนองหาน,410601,หนองหาน,6,41130,,,,28/8/2025
โรงพยาบาลหลวงพ่อคูณ ปริสุทฺโธ,EA0010877,1087700,10877,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,M2 - โรงพยาบาลชุมชนแม่ข่าย,120,กำลังใช้งาน,เขตสุขภาพที่ 9,9,142/49,30,นครราชสีมา,3008,ด่านขุนทด,300802,ด่านขุนทด,2,,,,,19/3/2024
โรงพยาบาลประชาธิปัตย์,EA0010763,1076300,10763,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F1 - โรงพยาบาลชุมชนขนาดใหญ่,40,กำลังใช้งาน,เขตสุขภาพที่ 4,4,17 ซอยรังสิต-ปทุมธานี 7,13,ปทุมธานี,1303,ธัญบุรี,130301,ประชาธิปัตย์,0,12130,,,,27/8/2025
โรงพยาบาลสบเมย,EA0011207,1120700,11207,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,248 ถนนแม่สะเรียง-แม่สอด,58,แม่ฮ่องสอน,5806,สบเมย,580602,แม่คะตวน,3,58110,,,,19/3/2024
สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน,AA0000045,4500,45,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,ขุนลุมประพาส,58,แม่ฮ่องสอน,5801,เมืองแม่ฮ่องสอน,580101,จองคำ,0,58000,,,,31/8/2023
โรงพยาบาลวังเหนือ,EA0011151,1115100,11151,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 1,1,362,52,ลำปาง,5207,วังเหนือ,520702,วังเหนือ,4,,,,,6/12/2023
สำนักงานสาธารณสุขจังหวัดน่าน,AA0000042,4200,42,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,467 ถนนน่าน-ทุ่งช้าง,55,น่าน,5501,เมืองน่าน,550103,ผาสิงห์,5,55000,,,,31/8/2023
โรงพยาบาลวังเจ้า,EA0027443,2744300,27443,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 2,2,บ้านสบยม,63,ตาก,6309,วังเจ้า,630901,เชียงทอง,2,63000,,,,19/3/2024
โรงพยาบาลโนนนารายณ์,EA0027844,2784400,27844,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 9,9,บ้านโนนสั้น,32,สุรินทร์,3217,โนนนารายณ์,321701,หนองหลวง,6,,,1/12/2012,,6/12/2023
โรงพยาบาลบ้านด่าน,EA0028020,2802000,28020,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,63,กำลังใช้งาน,เขตสุขภาพที่ 9,9,192,31,บุรีรัมย์,3121,บ้านด่าน,312101,บ้านด่าน,9,31000,,1/4/2013,,19/3/2024
สถานบริการสาธารณสุขชุมชนบ้านป่าข้าวหลาม,GA0077544,587401,77544,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 1,1,,50,เชียงใหม่,5006,แม่แตง,500612,กื้ดช้าง,7,50150,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ตะมาน ตำบลกื้ดช้าง,28/12/2014,,9/10/2023
โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด (สาขา),GA0077654,960402,77654,,รัฐบาล,โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 12,12,420,91,สตูล,9101,เมืองสตูล,910102,คลองขุด,4,91000,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด,1/6/2013,,30/1/2024
โรงพยาบาลลาดบัวหลวง,EA0010776,1077600,10776,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,34,กำลังใช้งาน,เขตสุขภาพที่ 4,4,88/1,14,พระนครศรีอยุธยา,1410,ลาดบัวหลวง,141003,สามเมือง,3,13230,,,,27/8/2025
สำนักงานสาธารณสุขจังหวัดสงขลา,AA0000069,6900,69,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 12,12,161/1 ถ.รามวิถี,90,สงขลา,9001,เมืองสงขลา,900101,บ่อยาง,0,90000,,,,13/9/2024
โรงพยาบาลชื่นชม,EA0028843,2884300,28843,,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,F2 - โรงพยาบาลชุมชนขนาดกลาง,30,กำลังใช้งาน,เขตสุขภาพที่ 7,7,253,44,มหาสารคาม,4413,ชื่นชม,441301,ชื่นชม,3,44160,,14/6/2013,,26/12/2023
